Key,English,Category,Context,Amharic,Technical
seller.pending.publish,🚀 Publish,seller,Pending publish button,,No
seller.pending.refresh,↻ Refresh,seller,Pending refresh,,No
seller.pending.sellCommand,/sell command,seller,Pending sell command tag,,No
seller.pending.title,'📋 From Telegram (${pending.length})',seller,Pending header,,No
seller.pending.untitled,Untitled Product,seller,Pending untitled,,No
seller.profileModal.buyer,🛠 Buyer,seller,Profile modal buyer badge,,No
seller.profileModal.deleteStore,🗑️ Delete this store,seller,Profile modal delete,,No
seller.profileModal.myOrders,📦 My Orders & Deliveries,seller,Profile modal orders,,No
seller.profileModal.openShop,🏪 Open a Shop on Medebirr — Free,seller,Profile modal open shop,,No
seller.profileModal.openStudio,Open Studio →,seller,Profile modal open studio,,No
seller.profileModal.pendingVerification,⏳ Pending Verification,seller,Profile modal pending,,No
seller.profileModal.switchAccount,⇄ Switch Account,seller,Profile modal switch,,No
seller.profileModal.verifiedSeller,🏬 Verified Seller,seller,Profile modal seller badge,,No
seller.profileModal.yourStores,Your Stores,seller,Profile modal stores label,,No
seller.refreshPending,Could not load store page,seller,Refresh error toast,,No
seller.register.accountRequired,Please enter your Telebirr account and seller password,seller,Reg account error,,No
seller.register.addAdmin,📋 How to add @medebirrbot as admin:,seller,Reg add admin title,,No
seller.register.addAdminSteps,"1. Open your Telegram group or channel → <strong>Administrators</strong><br/> 2. Tap <strong>Add Administrator</strong> &amp; search <strong style=""color:var(--accent);"">@medebirrbot</strong><br/> 3. Enable <strong>Post Messages</strong> &amp; save!",seller,Reg add admin steps,,No
seller.register.addBotAdmin,"Add @medebirrbot as admin in your group, then re-verify from settings.",seller,Reg warn note,,No
seller.register.autoPost,"📢 When connected, products published in your Seller Studio automatically post to your Telegram channel/group with an interactive <strong>Buy Now</strong> button!",seller,Reg autopost note,,No
seller.register.back,← Back,seller,Reg back button,,No
seller.register.briefDesc,Brief Description (optional),seller,Reg desc label,,No
seller.register.briefPlaceholder,What makes your shop special?,seller,Reg desc placeholder,,No
seller.register.businessPhone,Business Phone,seller,Reg phone label,,No
seller.register.catBeauty,💄 Beauty & Personal Care,seller,Reg category option,,No
seller.register.catElectronics,📱 Electronics & Phones,seller,Reg category option,,No
seller.register.catFashion,👗 Fashion & Traditional Clothing,seller,Reg category option,,No
seller.register.catFootwear,👟 Footwear,seller,Reg category option,,No
seller.register.catFurniture,🪑 Furniture & Home,seller,Reg category option,,No
seller.register.catGroceries,"☕ Coffee, Food & Groceries",seller,Reg category option,,No
seller.register.catOther,📦 Other,seller,Reg category option,,No
seller.register.directCheckout,💡 <strong>Direct Seller Checkout:</strong> Buyers transfer money directly to your Telebirr shortcode or account during checkout. Zero platform commission or escrow delay!,seller,Reg direct checkout note,,No
seller.register.enterStudio,Enter Seller Studio →,seller,Reg enter studio,,No
seller.register.failed,Registration failed,seller,Reg fail toast,,No
seller.register.groupNote,Must be a public channel or group where the bot is added as admin.,seller,Reg group note,,No
seller.register.groupPlaceholder,e.g. BoleAppleDeals,seller,Reg group placeholder,,No
seller.register.groupUsername,Telegram Group / Channel Username,seller,Reg group label,,No
seller.register.intro,"List your products, reach buyers across Ethiopia. Zero commission. Payments land directly in your account.",seller,Register intro,,No
seller.register.launchFree,🚀 Launch My Store Free!,seller,Reg launch button,,No
seller.register.live,Your Medeb is now live!,seller,Reg success sub,,No
seller.register.nameRequired,Please enter your store / shop name to proceed,seller,Reg name error,,No
seller.register.nextFinancials,Next: Financials &amp; Password →,seller,Reg next button,,No
seller.register.nextTelegram,Next: Connect Telegram →,seller,Reg next button,,No
seller.register.outsideAddis,Outside Addis,seller,Reg subcity option,,No
seller.register.password,🔑 Seller Studio Password,seller,Reg password label,,No
seller.register.passwordLength,Seller password must be at least 4 characters long,seller,Reg password error,,No
seller.register.passwordNote,Required to unlock and manage your Seller Studio dashboard.,seller,Reg password note,,No
seller.register.passwordPlaceholder,Minimum 4 characters,seller,Reg password placeholder,,No
seller.register.paymentsStep,Step 2 — Payments &amp; Security,seller,Reg step2 heading,,No
seller.register.phonePlaceholder,+251 9XX XXX XXX,seller,Reg phone placeholder,,No
seller.register.phoneRequired,Business phone is required,seller,Reg phone error,,No
seller.register.profileCreated,Store profile created & verified,seller,Reg success item,,No
seller.register.profileStep,Step 1 — Store Profile Details,seller,Reg step1 heading,,No
seller.register.readyProducts,Ready to add products,seller,Reg success item,,No
seller.register.registerFirst,"Register your store first, then verify the group.",seller,Reg verify first,,No
seller.register.registering,Registering your store...,seller,Reg registering toast,,No
seller.register.step1,1. Profile,seller,Reg step 1 badge,,No
seller.register.step2,2. Security,seller,Reg step 2 badge,,No
seller.register.step3,3. Telegram Group,seller,Reg step 3 badge,,No
seller.register.storeName,Store / Shop Name,seller,Reg store name label,,No
seller.register.storeNamePlaceholder,e.g. Bole Fashion House,seller,Reg store name placeholder,,No
seller.register.storeRequired,Store name is required,seller,Reg store name error,,No
seller.register.subCity,Sub-City,seller,Reg subcity label,,No
seller.register.telebirrLinked,Telebirr payment linked,seller,Reg success item,,No
seller.register.telebirrNote,Displayed to buyers upon order placement.,seller,Reg telebirr note,,No
seller.register.telebirrPlaceholder,e.g. 891204 or +251 9XX XXX XXX,seller,Reg telebirr placeholder,,No
seller.register.telebirrShortcode,Your Telebirr Shortcode / Phone,seller,Reg telebirr label,,No
seller.register.telegramStep,Step 3 — Connect Your Telegram Group,seller,Reg step3 heading,,No
seller.register.title,🏪 Open Your Shop on Medebirr,seller,Register title,,No
seller.register.tryAgain,🔄 Try Again,seller,Reg verify retry,,No
seller.register.verified,"✅ <strong>Verified!</strong> @medebirrbot is admin of <strong style=""color:white;"">${result.chatTitle}</strong><br/> <span style=""color:var(--text-secondary);"">Products will now auto-post to this group when published.</span>",seller,Reg verify success,,No
seller.register.verifyAdmin,✅ Verify @medebirrbot is Admin,seller,Reg verify button,,No
seller.register.whatSell,What do you sell?,seller,Reg category label,,No
seller.savePolicy.failed,Save failed,seller,Save policy error,,No
seller.savePolicy.success,Store settings saved!,seller,Save policy toast,,No
seller.settingNotSaved,Setting not saved yet,seller,Store toggle info,,No
seller.tax.notSaved,Tax settings not saved yet,seller,Tax error,,No
seller.tax.saved,Tax & invoice settings saved!,seller,Tax saved toast,,No
seller.telegramNotifs.enabled,'Telegram notifications ${enabled ? 'enabled' : 'disabled'}',seller,TG notifs toast,,No
seller.telegramNotifs.failed,Failed to update setting,seller,TG notifs error,,No
seller.terms.agree,"I have read and agree to Medebirr's <strong style=""color:white;"">Terms &amp; Conditions</strong> and understand my responsibilities as a seller.",seller,Terms agree text,,No
seller.terms.dataPrivacy,6. Data &amp; Privacy,seller,Terms section,,No
seller.terms.goBack,Go Back,seller,Terms back button,,No
seller.terms.launch,Launch My Medeb,seller,Terms launch button,,No
seller.terms.liability,7. Limitation of Liability,seller,Terms section,,No
seller.terms.listings,4. Product Listings,seller,Terms section,,No
seller.terms.payments,2. Payments,seller,Terms section,,No
seller.terms.sellerResponsibilities,1. Seller Responsibilities,seller,Terms section,,No
seller.terms.sub,Please review before launching your Medeb,seller,Terms sub,,No
seller.terms.suspension,5. Store Suspension,seller,Terms section,,No
seller.terms.title,Terms &amp; Conditions,seller,Terms title,,No
seller.terms.zeroCommission,3. Zero Commission,seller,Terms section,,No
seller.verifyGroup.checking,🔍 Checking...,seller,Verify group checking,,No
seller.verifyGroup.enterFirst,Enter a group username first,seller,Verify group empty,,No
seller.verifyGroup.failed,Verification failed,seller,Verify group error,,No
seller.verifyGroup.verified,'✅ Verified! @medebirrbot is admin of <strong>${result.chatTitle}</strong>. Products will now auto-post here.',seller,Verify group success,,No
seller.welcome.autoBroadcast,Auto-Broadcast,seller,Welcome benefit title,,No
seller.welcome.autoBroadcastDesc,Post in Telegram. Bot lists it. Buyers purchase.,seller,Welcome benefit desc,,No
seller.welcome.keepBirr,Keep Every Birr,seller,Welcome benefit title,,No
seller.welcome.keepBirrDesc,"Buyers pay you directly. No middleman, no delay.",seller,Welcome benefit desc,,No
seller.welcome.launch,Launch Your Medeb,seller,Seller welcome title,,No
seller.welcome.launching,✓ Launching...,seller,Seller slide launching,,No
seller.welcome.live60,Live in 60 Seconds,seller,Welcome benefit title,,No
seller.welcome.live60Desc,"Name, payment, Telegram link — done.",seller,Welcome benefit desc,,No
seller.welcome.slide,Slide to launch your medeb →,seller,Seller slide label,,No
seller.welcome.sub,Zero commission. Direct payments. Ethiopia's marketplace.,seller,Seller welcome sub,,No
shared.addToCart,+ Add to Cart,shared,Add to cart button,,No
shared.badgeSeller,Seller Studio,shared,Badge seller,,No
shared.badgeShops,Verified Shops,shared,Badge shops,,No
shared.btn.apply,Apply,shared,Shared apply button,,No
shared.btn.back,Back,shared,Shared back button,,No
shared.btn.cancel,Cancel,shared,Shared cancel button,,No
shared.btn.close,Close,shared,Shared close button,,No
shared.btn.confirm,Confirm,shared,Shared confirm button,,No
shared.btn.delete,Delete,shared,Shared delete button,,No
shared.btn.edit,Edit,shared,Shared edit button,,No
shared.btn.next,Next,shared,Shared next button,,No
shared.btn.ok,OK,shared,Shared ok button,,No
shared.btn.save,Save,shared,Shared save button,,No
shared.cancelOrder,✕ Cancel Order,shared,Cancel order button,,No
shared.chat,💬 Chat,shared,Chat title,,No
shared.chatNew,${c.unread_count} new,shared,Unread badge,,No
shared.chatPlaceholder,Type a message...,shared,Chat input placeholder,,No
shared.checkStatus,Check Status,shared,Check status button,,No
shared.checkout,Checkout,shared,Checkout label,,No
shared.confirmCancel,Are you sure you want to cancel this order?,shared,Cancel order confirm,,No
shared.connectionError,Connection Error,shared,Connection error title,,No
shared.copyLink,Copy Link,shared,Copy link button,,No
shared.copyNote,Copy,shared,Copy note button,,No
shared.couldNotCheck,Could not check order status,shared,Check status error,,No
shared.couldNotLoadDetail,Could not load order detail,shared,Order detail error,,No
shared.couponCodeCopied,Coupon code copied!,shared,Coupon code copied toast,,No
shared.couponIssued,🎉 Coupon issued for sharing!,shared,Coupon issued toast,,No
shared.deliveryAddress,📍 Delivery Address,shared,Delivery address card title,,No
shared.downloadPdf,📥 Download PDF,shared,Download PDF button,,No
shared.emptyCart,Your cart is empty,shared,Cart empty title,,No
shared.emptyCartDesc,Browse products and add your favorites.,shared,Cart empty desc,,No
shared.emptyWishlist,No items saved yet,shared,Wishlist empty title,,No
shared.emptyWishlistDesc,Tap the heart on any product to save it here.,shared,Wishlist empty desc,,No
shared.failedCopyLink,Failed to copy link,shared,Copy link error,,No
shared.failedLoadCoupons,Failed to load coupons,shared,Coupons load error,,No
shared.failedLoadMessages,Failed to load messages,shared,Chat load error,,No
shared.failedSend,Failed to send message,shared,Chat send error,,No
shared.failedStartChat,Failed to start conversation,shared,Chat start error,,No
shared.featuredItems,Featured Items,shared,Featured section,,No
shared.groupBuying,👥 Group Buying,shared,Group buying title,,No
shared.imageTips,"Use natural lighting, clean background, show multiple angles. Min 800×600px.",shared,Image tips (shared),,No
shared.imageUploaded,'${data.count} image${data.count > 1 ? 's' : ''} uploaded!',shared,Image uploaded toast,,No
shared.invalidProduct,Invalid product,shared,Invalid product toast,,No
shared.language,Language: ${State.language.toUpperCase()},shared,Language toast,,No
shared.linkCopied,Link copied!,shared,Link copied toast,,No
shared.loading,Loading...,shared,Generic loading,,No
shared.maxImages,"Max 5 images, 10MB each.",shared,Image max note,,No
shared.noConversations,No conversations yet. Tap Chat on any product to start one.,shared,No conversations note,,No
shared.noCoupons,No coupons yet,shared,Coupons empty title,,No
shared.noGroupBuys,No active group buys,shared,Group buys empty title,,No
shared.noPendingOrder,No pending order,shared,No pending toast,,No
shared.noStoreSelected,No store selected,shared,No store toast,,No
shared.notifEmpty,No notifications yet,shared,Notif empty,,No
shared.notifTitle,Notifications,shared,Notif title,,No
shared.orderCancelled,Order cancelled.,shared,Order cancelled toast,,No
shared.orderFailed,Order failed — please try again,shared,Order failed toast,,No
shared.orderItems,Order Items,shared,Order items card title,,No
shared.orderPlaced,Order Placed!,shared,Order placed label,,No
shared.paymentPending,Payment still pending — please complete the payment,shared,Payment pending toast,,No
shared.paymentTimedOut,"Payment confirmation timed out — tap ""Check Status"" to retry",shared,Payment timeout toast,,No
shared.pendingNotFound,Pending product not found. Refreshing...,shared,Pending not found toast,,No
shared.placingOrder,Placing order...,shared,Placing order toast,,No
shared.productLink,Product Link,shared,Share product link label,,No
shared.productNotFound,Product not found,shared,Product not found toast,,No
shared.productUnavailable,Product unavailable,shared,Product unavailable toast,,No
shared.ratePurchase,⭐ Rate Your Purchase,shared,Review form title,,No
shared.retry,Retry,shared,Retry button,,No
shared.reviewExperience,"How was your experience with <strong style=""color:white;"">${storeName}</strong>?",shared,Review form body,,No
shared.reviewFailed,Failed to submit review,shared,Review error toast,,No
shared.reviewPlaceholder,Share your thoughts about this product (optional),shared,Review placeholder,,No
shared.reviewSubmitted,Review submitted! Thank you ⭐,shared,Review submitted toast,,No
shared.riderDetails,🛵 Rider Details,shared,Rider details card title,,No
shared.searchFailed,Search failed,shared,Search failed toast,,No
shared.searchPlaceholder,"Search shops, items, or locations...",shared,Search placeholder,,No
shared.send,Send,shared,Chat send button,,No
shared.shareProduct,📤 Share this Product,shared,Share product title,,No
shared.shareTelegram,Share to Telegram,shared,Share telegram button,,No
shared.shareToEarn,Share products to earn coupons!,shared,Coupons empty desc,,No
shared.shareWhatsApp,Share via WhatsApp,shared,Share whatsapp button,,No
shared.signingIn,Signing in...,shared,Signing in status,,No
shared.submitReview,Submit Review,shared,Submit review button,,No
shared.tabCart,Cart,shared,Bottom nav tab,,No
shared.tabExplore,Explore,shared,Bottom nav tab,,No
shared.tabProfile,Profile,shared,Bottom nav tab,,No
shared.tabWishlist,Wishlist,shared,Bottom nav tab,,No
shared.totalPaid,Total Paid,shared,Total paid label,,No
shared.trackOrder,📦 Track My Order,shared,Track order button,,No
shared.uploadFailed,Upload failed,shared,Upload error toast,,No
shared.validUntil,Valid until ${new Date(c.valid_until || c.expires_at).toLocaleDateString()},shared,Coupon valid until,,No
shared.viewAll,View All,shared,View all button,,No
shared.writeReview,⭐ Write a Review,shared,Write review button,,No
general.afaanOromoo,Afaan Oromoo,general,Language name,,Yes
general.br,Br,general,Currency symbol,,Yes
general.cbe,CBE,general,Bank name,,Yes
general.cbeBirr,CBE Birr,general,Payment method,,Yes
general.emerkato,e-Merkato,general,Platform name,,Yes
general.etb,ETB,general,Currency code,,Yes
general.medebirr,Medebirr,general,App brand name,,Yes
general.qr,QR,general,Technical token,,Yes
general.telebirr,Telebirr,general,Payment method,,Yes
general.telegram,Telegram,general,Platform name,,Yes
general.whatsapp,WhatsApp,general,Platform name,,Yes
